ID,Name,Family,Grade,Weight,Effect_New,Chain_New,Active,Condition,Disposition,Original_FX
r05,이중 결속,밧줄,4,0,십자(4방) 완성 시 +2W [재해석:대각→십자],,,,재해석,대각 여섯 줄 각각 +2
r07,그물 매듭,밧줄,3,0,계열 1개당 전 인접보너스 +0.1,,,,직역,밧줄 1개당 모든 줄 +0.1 (최대 6개)
r09,팽팽한 활줄,밧줄,4,0,가로 인접 GEN쌍당 +0.5W,,,,직역,가로 아홉 줄 +1
r10,밧줄 토막,밧줄,1,0,[텍스트 효과 — 수동],PASSENGERS_FULL(동승 4) → 이번 턴 전력 +v% (v=0.5),,,직역,승객이 넷 다 차면 — 이번 판 전력 +50%
r11,도르래 축선,밧줄,4,0,가로 인접 GEN쌍당 +0.7W · 세로 인접 GEN쌍당 +0.7W · 십자(4방) 완성 시 +1.4W [재해석:대각→십자] · 목표 전력 x1.45,,,,재해석,모든 스무 줄 +2 · 문턱 +45%
r14,어부의 릴,밧줄,3,0,가로 인접 GEN쌍당 +1.0W · 세로 인접 GEN쌍당 +-0.5W,,,,직역,가로 +2 · 세로 −1
r15,기중기 케이블,밧줄,3,0,가로 인접 GEN쌍당 +1.0W · 세로 인접 GEN쌍당 +1.0W · 십자(4방) 완성 시 +2W [재해석:대각→십자],,,7층부터,재해석,7층부터 모든 스무 줄 +2
lead,납추 공구함,상아,3,0,총 무게 1당 모든 기초 +1W,,,,직역,무게 1당 모든 심볼값 +1
i03,방부 심장,상아,3,0,석탄 +2W,,,,직역,심장 +2
i04,어금니 세공,상아,3,0,배터리 +1W,,,,직역,어금니 +1
i05,골분 광택제,상아,3,0,태양광 +1W,,,,직역,뼈 +1
i06,심장 촉진제,상아,4,0,석탄 +9W · 석탄 상점 등장 가중 x2 · 강설 +3%p,,,,재해석,심장 +9 · 심장이 자주 뜬다 · 눈 출현 +0.03
i07,만능 연마제,상아,3,0,Common 기초 심볼 +4W · Uncommon+ 기초 심볼 +4W,,,,직역,모든 심볼 +4
i10,상아 저울,상아,3,0,계열 1개당 sv+0.2·0.2·0.2,,,,직역,상아 1개당 모든 심볼 +0.2 (최대 6개)
i11,젖니 상자,상아,1,0,[텍스트 효과 — 수동],DELIVER → 골드 +v (v=3),,,직역,이름을 인도하면 — 동전 +3
i20,이소골 집게,상아,2,0,열선 +2W · 열선 상점 등장 가중 x1.9,,,,재해석(귀→열선),귀 +2 · 귀가 더 자주 뜬다
i21,혀 누르개,상아,3,0,제설차 +3W · 제설차 상점 등장 가중 x1.8,,,,재해석(혀→제설차),혀 +3 · 혀가 더 자주 뜬다
i22,두개 절개톱,상아,4,0,재활용 압축기 기본 +8W · 상점 등장 가중 x2.6,,,,재해석(뇌→압축기),뇌 +8 · 뇌가 훨씬 자주 뜬다
i23,늑골 벌리개,상아,4,1,석탄 +6W · 석탄 상점 등장 가중 x2.2,,,,재해석(폐→석탄),폐 +6 · 폐가 훨씬 자주 뜬다 · 무게 +1
i14,헐값 의치,상아,1,0,배터리 +1W · 태양광 +-1W,,,,직역,어금니 +1 · 뼈 −1
shroud,검은 회수포,유리,3,0,눈 역이용 계수(열선 인접 보너스) +0.2W,,,,직역,눈 배수 +0.2 (상한 ×3)
lure,홍채 유인구,유리,3,0,강설 확률 +50%p · 눈 역이용 계수(열선 인접 보너스) +0.5W,,,,직역,눈 위협도 +0.5 · 눈 배수 +0.5
soot,검댕 유리,유리,3,0,클리어 시 눈 1개당 골드 +1,,,,직역,눈이 있는 채 출발하면 눈 1개당 동전 1닢
g02,이중 렌즈,유리,4,0,눈 역이용 계수(열선 인접 보너스) +0.35W · 강설 확률 +30%p,,,,직역,눈 배수 +0.35 · 눈 위협도 +0.3
g03,눈꺼풀 집게,유리,3,0,강설 확률 -30%p · 1차 배율(M1) +0.6,,,,직역,눈 위협도 −0.3 · 전력 배수 +0.6
g05,의안 케이스,유리,4,0,층 시작 시 눈 +1 · 1차 배율(M1) +1.2,,,,직역,도착마다 눈 하나를 심는다 · 전력 배수 +1.2
g06,응시 거울,유리,4,0,눈 시너지마다 골드 +1,,,,직역,목격 잭팟마다 동전 1닢
g07,유리 눈물,유리,1,0,[텍스트 효과 — 수동],EMPTY_SET(빈칸 3+ 턴) → 최저 기초 심볼 재발동 (v=1),,,직역,무늬가 완성되면 — 가장 큰 줄 하나를 한 번 더 계산한다
g08,실핏줄 염료,유리,3,0,눈 제거마다 M1 +0.1 (영구),,,,직역,눈이 사라질 때마다 전력 배수 +0.1
g09,각막 표본,유리,4,0,계열 1개당 eyeMult+0.02,,,,직역,유리 1개당 눈 배수 +0.02 (최대 6개)
g10,초점 프리즘,유리,4,0,눈 역이용 계수(열선 인접 보너스) +0.75W · 목표 전력 x1.2,,,,직역,눈 배수 +0.75 · 문턱 +20%
g11,뿌연 안개 유리,유리,2,0,강설 확률 +30%p,,,,직역,눈 위협도 +0.3
g12,채집용 유리병,유리,3,0,층 시작 시 눈 +1 · 눈 제거마다 M1 +0.1 (영구),,,,직역,도착마다 눈 하나 · 눈이 사라질 때 출력 +0.1
g14,볼록 확대경,유리,4,0,[조건] 눈 [object Object]개 이상일 때만,,,,직역,눈 셋 이상일 때 전력 ×1.45
g15,겹눈 표본,유리,4,0,[조건] 눈 [object Object]개 이상일 때만,,,,직역,눈 다섯 이상일 때 전력 ×4
g19,수은 방울,유리,4,0,눈 역이용 계수(열선 인접 보너스) +0.35W · 강설 확률 -20%p,,,,직역,눈 배수 +0.35 · 눈 위협도 −0.2
a01,마른 재,잿가루,1,0,잿가루 계열 세트 카운트 전용 (효과 없음),,,,직역,잿가루 수만 채운다 — 그 자체 효과는 없다
a02,부적 태운 재,잿가루,3,0,페이스 미달 시 운 +1,,,,직역,뒤처졌을 때만 운 +1 — 죽은 것은 절박할 때만 듣는다
a05,불씨 남은 재,잿가루,3,0,계열 1개당 luck+0.2,,,,직역,잿가루 5개당 운 +1 (최대 6개)
a06,뼛가루 소금,잿가루,2,0,페이스 미달 시 운 +1 · 강설 +20%p,,,,직역,뒤처졌을 때만 운 +1 · 눈 위협도 +0.2
a07,검은 분필,잿가루,2,0,운 배치 심볼도 각인 적립,,,,직역,운이 만든 줄에도 새김눈 +1
a09,도박장 재떨이,잿가루,3,0,공전 턴마다 골드 +2,,,,직역,줄이 안 선 레버마다 동전 2닢
a10,유골 단지,잿가루,4,2,페이스 미달 시 운 +1,,,,직역,뒤처졌을 때만 운 +1 · 무게 +2
o04,낡은 태엽,기름,1,0,[텍스트 효과 — 수동],FUSE → 턴 +v (v=1),,,직역,융합이 일어나면 — 레버 +1
relay,태엽 계전기,기름,3,0,[재해석] 마지막 턴 전력 x2,,,,재해석,다섯 번째 레버의 전력 2배
o01,가압 급유기,기름,4,0,턴 수 +1,,,,직역,레버 횟수 +1
o02,조속기,기름,2,0,턴 수 -1 · 1차 배율(M1) +2,,,,직역,레버 횟수 −1 · 전력 배수 +2
o05,순간 점화유,기름,3,0,[재해석] 마지막 턴 전력 x2.5 · 목표 전력 x1.1,,,,재해석,첫 번째 레버 ×2.5 · 문턱 +10%
o06,그을린 피스톤,기름,3,0,[재해석] 마지막 턴 전력 x1.5 · 계열 1개당 M1 +0.05,,,,재해석,다섯째 레버 ×1.5 · 기름 1개당 전력 배수 +0.05 (최대 6개)
k01,회수된 표 뭉치,표,2,0,구매 시 골드 +3,,,,직역,살 때 동전 +3
k02,위조표,표,1,0,구매 시 골드 +2 · 목표 전력 x1.05,,,,직역,살 때 동전 +2 · 문턱 +5%
k03,정기권,표,3,0,인도마다 골드 +1,,,,직역,인도마다 동전 +1
k07,봉인된 금고표,표,2,2,구매 시 골드 +6 · 1차 배율(M1) +0.5,,,,직역,살 때 동전 +6 · 전력 배수 +0.5 · 무게 +1
k10,구리 저금통,표,2,0,층 시작 골드 +1,,,,직역,정차에 도착할 때마다 동전 +1
k11,이자 장부,표,4,0,이자 +0.35,,,,직역,출발할 때 보유 동전의 35% 이자(올림)
k12,동전 프레스,표,5,0,클리어 골드 x2 · 골드 5+ 보유 시 M1 +1.5,,,,직역,출발 보상 동전 2배 · 동전 5닢 이상이면 전력 배수 +1.5
k13,수금 가방,표,3,0,인도마다 골드 +2 · 층 시작 골드 +2,,,,직역,인도마다 동전 +2 · 출발마다 동전 +2
scale,놋쇠 저울추,납,2,0,무게 비용 x0.5,,,,직역,무게가 올리는 문턱 절반
n01,납 벽돌,납,1,2,납 계열 세트 카운트 전용 (효과 없음),,,,직역,납 수만 채운다 · 무게 +2 — 그 자체 효과는 없다
n03,모래주머니,납,1,3,납 계열 세트 카운트 전용 (효과 없음),,,,직역,납 수만 채운다 · 무게 +3 — 그 자체 효과는 없다
n04,균형추,납,3,0,무게 1당 M1 +0.2,,,,직역,무게 1당 전력 배수 +0.2
n06,수하물 저울,납,2,0,계열 1개당 sv+0.2·0.2·0.2,,,,직역,납 1개당 모든 심볼 +0.2 (최대 6개)
n10,굽은 저울바늘,납,2,1,목표 전력 x0.9,,,,직역,무게 +1 · 문턱 −10%
n13,평형수 탱크,납,4,5,무게 비용 x0.5,,,,직역,무게 +5 · 무게 문턱 증가 절반
w01,작은 톱니,톱니,1,0,[텍스트 효과 — 수동],FAMILY_SET → 각인 진행 +v (v=2),,,직역,한 계열이 셋째를 채우면 — 줄 하나에 새김 +2
w04,주축 톱니,톱니,3,0,계열 1개당 M1 +0.15,,,,직역,톱니 1개당 전력 배수 +0.15 (최대 6개)
w05,피니언 기어,톱니,2,0,계열 1개당 sv+0.1·0.1·0.1,,,,직역,톱니 1개당 모든 심볼 +0.1 (최대 6개)
w06,래치 톱니,톱니,3,0,계열 1개당 전 인접보너스 +0.15,,,,직역,톱니 1개당 모든 줄 +0.15 (최대 6개)
w07,웜 기어,톱니,3,0,계열 1개당 eyeMult+0.015,,,,직역,톱니 1개당 눈 배수 +0.015 (최대 6개)
w08,유성 기어,톱니,4,0,계열 1개당 luck+0.14,,,,직역,톱니 7개당 운 +1 (최대 6개)
w09,톱니 축,톱니,2,1,톱니 계열 세트 카운트 전용 (효과 없음),,,,직역,톱니 수만 채운다 · 무게 +1 — 그 자체 효과는 없다
w11,이 빠진 톱니,톱니,1,0,배터리 +0.5W,,,,직역,톱니다 · 어금니 +0.5
w12,맞물림 검사표,톱니,2,0,구매 시 골드 +1,,,,직역,톱니다 · 살 때 동전 +1
b01,끊긴 수화기,벨,2,0,붉은 거래 거절 시 M1 +0.5,,,,직역,붉은 벨을 거절할 때마다 전력 배수 +0.5
b02,뇌물 봉투,벨,3,0,붉은 거래 수락 시 골드 +4 · 인터폰 응답마다 골드 +2,,,,직역,붉은 벨을 수락할 때마다 동전 +4 · 인터폰을 받을 때마다 동전 +2
b04,놋쇠 종,벨,3,0,1차 배율(M1) +0.8,,,,직역,전력 배수 +0.8 (다섯 번째 정차부터 +2.8)
b06,교환수의 핀,벨,4,0,총 전력 x1.2 (곱연산),,,,직역,전력 ×1.2 (다섯 번째 정차부터 ×1.5)
b07,뱃지 도장,벨,2,0,게이지 적립 확률 +6%p,,,,직역,벨 뱃지가 더 자주 붙는다 (+6%p)
b08,놋쇠 추,벨,2,0,게이지 적립 확률 +5%p,,,,직역,벨 뱃지가 더 자주 붙는다 (+5%p)
b09,단축 번호,벨,5,0,종 게이지 문턱 -1 · 인터폰 응답마다 M1 +0.3,,,,직역,인터폰까지 벨 2개면 된다 · 인터폰을 받을 때마다 전력 배수 +0.3
b10,수신자 부담,벨,3,0,인터폰 응답마다 골드 +1,,,,직역,인터폰을 받을 때마다 동전 +1
mir2,쌍둥이 거울,유리,4,0,고급 기초 재발동(동일값),,,,직역,같은 심볼로 두 줄 이상 서면· 그 심볼로 선 줄 전부를 한 번 더 계산한다
filt,먼지 필터,고물,4,0,눈 없을 때 재발동,,,,직역,눈이 하나도 없는 판이면 줄값·무늬값을 세 번 계산한다
ldgr,이중 장부,표,5,0,인도 시 재발동,,,,직역,이 층에서 이름을 인도했다면 줄값·무늬값을 두 번 계산한다
wgt2,저울추,납,5,0,[조건] 무게 [object Object] 이상,,,,직역,무게 6 이상이면 줄값이 두 배 · 6 미만이면 절반
whis,검표원 호각,벨,4,0,[텍스트 효과 — 수동],BELL_RING → 최저 기초 심볼 재발동 (v=2),,,직역,벨이 울리면 다음 판에서 값이 큰 줄 둘을 한 번 더 계산한다
rscr,역방향 나사,톱니,5,0,각 층 마지막 턴 M1 제곱 · 실패 시 눈 +2,,,,직역(고위험 유지),마지막 레버에서만 — 모든 배수가 제곱된다 (못 넘기면 추락)
lift,만원 승강기,문,5,0,전원 융합 시 재발동,,,,직역,태운 승객 넷이 전원 융합됐다면 줄값·무늬값을 두 번 계산한다
d02,황동 문손잡이,문,5,0,클리어 시 잔여 턴당 M1 x0.04,,,,직역,출발 시 이 층에서 쓴 레버 1회당 전력 배수 +4%
d03,마지막 못,문,3,0,잔여 턴 0으로 클리어 시 M1 +0.5,,,,직역,남은 레버 0으로 출발하면 전력 배수 +0.5
d05,잠금 걸쇠,문,4,0,목표 전력 x0.85,,,,직역,문턱 −15%
d07,육중한 철문,문,4,3,목표 전력 x0.8,,,,직역,무게 +3 · 문턱 −20%
y03,어둠 적응 렌즈,심연,4,0,눈 역이용 계수(열선 인접 보너스) +0.4W,,,,직역,눈 배수 +0.4 (지하에서는 +0.9)
y04,지하수 펌프,심연,3,0,재추첨 +2회,,,하강 모드 전용,직역,지하에서 재추첨 +2회
y05,갱도 지도,심연,2,0,목표 전력 x0.9,,,,직역,문턱 −10% (지하에서는 −28%)
y08,하강 벨트,심연,4,0,총 전력 x1.25 (곱연산),,,,직역,전력 ×1.25 (지하에서는 ×1.9)
f02,촛농 봉인,초,3,0,눈 역이용 계수(열선 인접 보너스) +0.45W,,,,직역,눈 배수 +0.45 (축제층에서는 +1.45)
f03,불꽃 심지,초,3,0,총 전력 x1.2 (곱연산),,,,직역,전력 ×1.2 (축제층에서는 ×2.4)
f04,초석 가루,초,2,0,운 +1 (턴당 심볼 1개 최적 재배치),,,,직역,운 +1 (축제층에서는 +4)
f06,제례용 촛대,초,4,2,1차 배율(M1) +1.2,,,,직역,전력 배수 +1.2 · 무게 +2 (축제층에서는 전력 ×6 추가)
jk01,먼지 낀 병뚜껑,고물,1,0,고물 계열 세트 카운트 전용 (효과 없음),,,,직역,고물 수만 채운다 — 그 자체 효과는 없다
jk04,고물상의 저울,고물,3,0,계열 1개당 M1 +0.2,,,,직역,고물 1개당 전력 배수 +0.2 (최대 6개)
jk05,고물 수레,고물,3,0,계열 1개당 sv+0.2·0.2·0.2,,,,직역,고물 1개당 모든 심볼 +0.2 (최대 6개)
j06,넝마주이 갈고리,고물,3,0,계열 1개당 luck+0.16,,,,직역,고물 6개당 운 +1 (최대 6개)
j07,깨진 시계,고물,1,0,고물 계열 세트 카운트 전용 (효과 없음),,,,직역,고물 수만 채운다 — 그 자체 효과는 없다
j09,녹슨 열쇠 꾸러미,고물,1,1,고물 계열 세트 카운트 전용 (효과 없음),,,,직역,고물 수만 채운다 · 무게 +1 — 그 자체 효과는 없다
j11,다 쓴 건전지,고물,1,0,1차 배율(M1) +0.1,,,,직역,고물이다 · 전력 배수 +0.1
j12,깨진 거울 조각,고물,1,0,강설 확률 +10%p,,,,직역,고물이다 · 눈 위협도 +0.1
j14,정체불명의 부품,고물,1,0,고물 계열 세트 카운트 전용 (효과 없음),,,,직역,고물 수만 채운다 — 그 자체 효과는 없다
v01,태엽 집게,태엽,2,0,,,발동형(충전 2): break,,직역,발동: 가장 오래된 눈 하나 소멸 · 충전 2 (문이 열릴 때마다 +1)
v03,유인 피리,태엽,2,0,,,발동형(충전 3): plant,,직역,발동: 눈 하나를 심는다 · 충전 3 (문이 열릴 때마다 +1)
v04,행운 태엽,태엽,2,0,,,발동형(충전 2): luck2,,직역,발동: 다음 레버 운 +2 · 충전 2 (문이 열릴 때마다 +1)
v06,여분의 스프링,태엽,3,0,,,발동형(충전 2): spin1,,직역,발동: 이번 정차 레버 +1 · 충전 2 (문이 열릴 때마다 +1)
v08,완충 고무,태엽,2,0,,,발동형(충전 2): req10,,직역,발동: 이번 정차 문턱 −10% · 충전 2 (문이 열릴 때마다 +1)
v10,재추첨 크랭크,태엽,4,0,,,발동형(충전 1): rerollAll,,직역,발동: 눈이 아닌 모든 칸 재추첨(판 정지 후) · 충전 1 (문이 열릴 때마다 +1)
v12,영구 코일 감개,태엽,4,0,,,발동형(충전 1): out1,,직역,발동: 전력 배수 +1 영구 · 런 1회 (충전되지 않는다)
v13,진정제 분무기,태엽,2,0,,,발동형(충전 2): calm,,직역,발동: 이번 정차 눈 출현 −0.3 · 충전 2 (문이 열릴 때마다 +1)
v14,각성제 분무기,태엽,2,0,,,발동형(충전 3): agit,,직역,발동: 이번 정차 눈 출현 +0.3 · 충전 3 (문이 열릴 때마다 +1)
v18,곡괭이 자판기,태엽,3,0,,,발동형(충전 3): pick1,,직역,발동: 재추첨 +1회 (런 3회)
v19,붉은 태엽,태엽,4,0,,,발동형(충전 1): red3,,직역,발동: 눈 셋을 심고 전력 배수 +1 영구 · 런 1회 (충전되지 않는다)
v20,마지막 태엽,태엽,4,0,,,발동형(충전 1): dbl,,직역,발동: 멈춘 판의 전력 ×2 · 충전 1 (문이 열릴 때마다 +1)
