ID,Name,Kind,Weight,Dest_Floor,Pay_Gold,Gen,Effect_New,Chain_New,Fuse_Family,Fuse_Effect,Trigger_Note,Original_FX
pilg,눈먼 순례자,Ability,2,0,0,1,눈 역이용 계수(열선 인접 보너스) +0.75W · 층 클리어 시 보드 눈 1당 배율 +7.0% (영구 복리),SNOWFALL → 이번 턴 전력 +v% (v=0.12),유리,눈 역이용 계수(열선 인접 보너스) +1.25W,끝까지 보아야 눈을 돌려받는다,눈 배수 +0.75 · 연쇄 — 눈이 뜨면 이번 판 전력 +12% · 출발 시 뜬 눈 1개당 전력 배수 +7%
lamp,점등원,Ability,2,0,0,1,강설 확률 +15%p,,기름,점화 — 쓴 레버 한 번당 +6%로,꺼진 등이 위층에도 있다,출발 시 이 층에서 쓴 레버 1회당 전력 배수 +2.2% · 등이 켜진 만큼 눈이 뜬다 (눈 출현 +0.15)
mend,수선공,Ability,2,0,0,1,운 +1 (턴당 심볼 1개 최적 재배치),,톱니,운 +2 (턴당 심볼 2개 최적 재배치),터진 곳은 위로 이어진다,손이 빠르다 — 운 +1
tail,재단사,Ability,1,0,0,1,운 배치 심볼도 각인 적립 (+1),,밧줄,운 +1 (턴당 심볼 1개 최적 재배치),치수는 오르며 잰다,운이 만든 줄에도 새김눈이 남는다 (+1)
wnch,권양기 기사,Ability,4,0,0,1,전력 이월 상한 +12 · 석탄 기초 +2W,,밧줄,전력 이월 상한 x1.6,권양기는 그가 돌린다,심장 심볼값 +2 · 상승 한계 +12층
glaz,유리공,Ability,2,0,0,1,눈 제거마다 M1 영구 +0.1,SYNERGY(코어 발동/변압기 기여≥1.0 턴) → 눈 -1 [층당 2회 제한],유리,눈 제거마다 M1 +0.2 (영구),금 간 유리는 끝이 없다,눈이 사라질 때마다 전력 배수 +0.1 (영구) · 연쇄 — 줄이 서면 눈 하나를 지운다
scri,필경사,Ability,1,0,0,1,코어 미발동 턴마다 다음 턴 운 +1 (발동 시 초기화),,상아,운 +1 (턴당 심볼 1개 최적 재배치),장부는 끝까지 쓴다,줄이 안 선 레버마다 다음 레버 운 +1 (줄이 서면 초기화)
insp,승강기 검사원,Ability,3,0,0,2,탑승 시 M1 +2 · 전력 이월 상한 +60,,기름,총 전력 x1.5 (곱연산),검사는 끝나지 않는다,탑승 시 전력 배수 +2 · 상승 한계 +60층
line,고압선 전공,Ability,2,0,0,2,가로 인접 GEN쌍당 +1.5W,,밧줄,가로 인접 GEN쌍당 +1.5W,간선은 꼭대기까지 오른다,가로 아홉 줄 각각 +3
seal,인장 관리인,Ability,2,0,0,2,전력 이월 상한 +40,,납,전력 이월 상한 x1.4,인장은 문 앞에서 찍는다,눈 배수 +0.5 · 상승 한계 +40층
ngwd,야간 경비,Ability,2,0,0,2,강설 확률 -20%p,,톱니,강설 확률 -20%p,교대자가 오지 않는다,야간 순찰 — 눈이 덜 뜬다 (가중치 −0.2)
stok,소각로 화부,Ability,3,0,0,2,층 시작 시 눈 -1 · 1차 배율(M1) -0.5,,기름,1차 배율(M1) +1.5,불은 위로 번진다,도착마다 눈 하나를 태운다 · 전력 배수 −0.5
wrck,해체공,Ability,4,0,0,2,고급 기초(석탄·열선) x2 · 층 클리어 시 총 무게 1당 배율 +3.2% (영구 복리),,연장,고급 기초(석탄·열선) x1.5,뜯어낼 것은 위에 있다,큰 심볼값 2배 (심장·뇌·폐) · 출발 시 무게 1당 전력 배수 +3.2%
